Sector,mean,median,min,max,count
Basic Materials,37.30978888275501,37.626609416168534,20.38810932698463,50.15061597873881,20
Communication Services,35.962033251969444,39.187740180249776,-0.3439524586088358,46.337931484497794,22
Consumer Cyclical,33.33103394615431,35.300925281218014,3.253771873118156,47.4637699450519,55
Consumer Defensive,34.473849894565994,34.5309946779389,20.527879379064665,45.8294437450511,37
Energy,37.68185090815951,37.59691457974779,27.23882249638822,50.98618281780648,25
Financial Services,37.60499039805879,37.32871699663092,23.963594834134483,50.69902861854927,68
Healthcare,36.05259899682273,37.79135149914716,10.346052946570618,49.56042010977731,61
Industrials,36.30035601860965,36.82595049460233,6.084339886729186,47.14927632430237,73
Real Estate,36.83749312276594,36.54556009636615,19.282074791658903,45.58187609509147,31
Technology,36.917854579016684,37.2963074344459,-19.802003299890604,49.765329418627466,79
Utilities,34.53831237760923,32.918798473611474,25.860751208583803,50.91104428576468,32
